Company Name,Size,Type of ownership,Industry,Headquarters
TeamSoft,201 to 500 employees,Company - Private,IT Services,"Middleton, WI"
Freedom Mortgage,1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,"Mount Laurel, NJ"
"Computer Enterprises, Inc.",501 to 1000 employees,Company - Private,IT Services,"Pittsburgh, PA"
Weston Solutions Inc.,1001 to 5000 employees,Company - Private,Oil & Gas Services,"West Chester, PA"
McGrath Systems,1 to 50 employees,Company - Private,Staffing & Outsourcing,"Blue Bell, PA"
"Numeric, LLC",1 to 50 employees,Company - Private,Staffing & Outsourcing,"Chadds Ford, PA"
TechUSA,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Millersville, MD"
Piper Companies,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Mc Lean, VA"
Kforce,10000+ employees,Company - Public,Staffing & Outsourcing,"Tampa, FL"
"Zachary Piper Solutions, LLC",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,"Mc Lean, VA"
A2C Consulting,1 to 50 employees,Company - Private,Consulting,"Philadelphia, PA"
Community Behavioral Health,201 to 500 employees,Company - Private,Health Care Services & Hospitals,"Phila, PA"
APN Software Services Inc.,51 to 200 employees,Company - Private,Computer Hardware & Software,"Newark, CA"
Contemporary Staffing Solutions,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Mount Laurel, NJ"
The Judge Group,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Wayne, PA"
Versant Health,1001 to 5000 employees,Company - Private,Insurance Carriers,"Linthicum, MD"
Micro-Data Systems Inc.,51 to 200 employees,Company - Private,IT Services,"Holmdel, NJ"
Avantor,10000+ employees,Company - Public,Biotech & Pharmaceuticals,"Radnor, PA"
Tetra Tech,10000+ employees,Company - Public,Architectural & Engineering Services,"Pasadena, CA"
Freedom Mortgage,1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,"Mount Laurel, NJ"
NextGen Global Resources LLC,501 to 1000 employees,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers","San Diego, CA"
Vanguard,10000+ employees,Company - Private,Investment Banking & Asset Management,"Malvern, PA"
The Judge Group,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Wayne, PA"
amerihealth,5001 to 10000 employees,Subsidiary or Business Segment,Insurance Carriers,"Philadelphia, PA"
GSK,10000+ employees,Company - Public,Biotech & Pharmaceuticals,"Brentford, United Kingdom"
A2C Consulting,1 to 50 employees,Company - Private,Consulting,"Philadelphia, PA"
Eurofins,10000+ employees,Company - Private,Biotech & Pharmaceuticals,"Luxembourg, Luxembourg"
Eurofins,10000+ employees,Company - Private,Biotech & Pharmaceuticals,"Luxembourg, Luxembourg"
Freedom Mortgage,1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,"Mount Laurel, NJ"
Cambridge Advisory Group,1 to 50 employees,Company - Private,Consulting,"King of Prussia, PA"
Cooper University Health Care,5001 to 10000 employees,Hospital,Health Care Services & Hospitals,"Camden, NJ"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
amerihealth,5001 to 10000 employees,Subsidiary or Business Segment,Insurance Carriers,"Philadelphia, PA"
Forfeiture Support Associates,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Ashburn, VA"
"Management Decisions, Inc.",1 to 50 employees,Company - Public,Advertising & Marketing,"Milwaukee, WI"
TechUSA,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Millersville, MD"
SRG Woolf,1 to 50 employees,Company - Private,Staffing & Outsourcing,"Raleigh, NC"
"Login Consulting Services, Inc",51 to 200 employees,Company - Private,Consulting,"El Segundo, CA"
Adaptimmune Ltd,201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,"Abingdon, United Kingdom"
Trillium Solutions Group,1 to 50 employees,Private Practice / Firm,IT Services,"Highland Park, IL"
The Judge Group,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Wayne, PA"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
TE Connectivity,10000+ employees,Company - Public,Electrical & Electronic Manufacturing,"Schaffhausen, Switzerland"
Freedom Mortgage,1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,"Mount Laurel, NJ"
AmeriHealth Caritas,5001 to 10000 employees,Company - Private,Insurance Carriers,"Philadelphia, PA"
"Management Decisions, Inc.",1 to 50 employees,Company - Public,Advertising & Marketing,"Milwaukee, WI"
Piper Companies,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Mc Lean, VA"
Future Technologies Inc.,1001 to 5000 employees,Company - Private,Accounting,"Plainfield, NJ"
BNY Mellon,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
"Zachary Piper Solutions, LLC",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,"Mc Lean, VA"
Fox Chase Cancer Center,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Philadelphia, PA"
Kforce,10000+ employees,Company - Public,Staffing & Outsourcing,"Tampa, FL"
"Technocrafts, Inc.",1 to 50 employees,Company - Private,Computer Hardware & Software,"Chantilly, VA"
Ionidea,1001 to 5000 employees,Company - Private,IT Services,"Fairfax, VA"
CYNET SYSTEMS,501 to 1000 employees,Company - Private,IT Services,"Ashburn, VA"
Integrated Resources,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Edison, NJ"
Deacon Recruiting,1 to 50 employees,Company - Private,Staffing & Outsourcing,"San Antonio, TX"
Indotronix International Corporation,501 to 1000 employees,Company - Private,IT Services,"Rochester, NY"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
Huntington Ingalls Industries,10000+ employees,Company - Public,Aerospace & Defense,"Newport News, VA"
Principle Auto,501 to 1000 employees,Company - Private,Vehicle Dealers,"San Antonio, TX"
C2 GPS- Alamo Workforce,501 to 1000 employees,Company - Private,Consulting,"Austin, TX"
Vantage Bank Texas,201 to 500 employees,Company - Private,Banks & Credit Unions,"San Antonio, TX"
H E B,10000+ employees,Company - Private,Grocery Stores & Supermarkets,"San Antonio, TX"
"CICONIX, LLC",1 to 50 employees,Company - Private,Federal Agencies,"Annapolis, MD"
NJVC,1001 to 5000 employees,Company - Private,IT Services,"Chantilly, VA"
Randstad,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Atlanta, GA"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
Deacon Recruiting,1 to 50 employees,Company - Private,Staffing & Outsourcing,"San Antonio, TX"
"Amyx, Inc.",501 to 1000 employees,Company - Private,IT Services,"Reston, VA"
Scaleworks,1 to 50 employees,Company - Private,Computer Hardware & Software,"San Antonio, TX"
HCL Technologies Ltd.,10000+ employees,Company - Public,Computer Hardware & Software,"Noida, India"
CDO Technologies Inc,201 to 500 employees,Company - Private,Computer Hardware & Software,"Dayton, OH"
Cherokee Federal,1 to 50 employees,Nonprofit Organization,Banks & Credit Unions,"Rusk, TX"
Kforce,10000+ employees,Company - Public,Staffing & Outsourcing,"Tampa, FL"
PETCO,10000+ employees,Company - Private,Pet & Pet Supplies Stores,"San Diego, CA"
eTeam Inc.,51 to 200 employees,Company - Private,Staffing & Outsourcing,"South Plainfield, NJ"
LMI,1001 to 5000 employees,Nonprofit Organization,Consulting,"Tysons, VA"
CAMRIS International,201 to 500 employees,Company - Private,Federal Agencies,"Bethesda, MD"
General Dynamics Information Technology,10000+ employees,Subsidiary or Business Segment,IT Services,"Fairfax, VA"
Convene Technologies,51 to 200 employees,Company - Private,IT Services,"Tampa, FL"
Cyber Warrior Network,1 to 50 employees,Company - Private,IT Services,"San Antonio, TX"
nana,1001 to 5000 employees,Unknown,Social Assistance,"Kotzebue, AK"
Akima Management Services,5001 to 10000 employees,Company - Private,Aerospace & Defense,"Herndon, VA"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
Chenega Healthcare Services,501 to 1000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"San Antonio, TX"
Kforce,10000+ employees,Company - Public,Staffing & Outsourcing,"Tampa, FL"
"Cherokee Nation Businesses, LLC",1001 to 5000 employees,Company - Private,Accounting,"Catoosa, OK"
Spectrum Comm,51 to 200 employees,Company - Private,Aerospace & Defense,"Newport News, VA"
"Amyx, Inc.",501 to 1000 employees,Company - Private,IT Services,"Reston, VA"
Cherokee Federal,1 to 50 employees,Nonprofit Organization,Banks & Credit Unions,"Rusk, TX"
Peyton Resource Group,1 to 50 employees,Company - Private,Staffing & Outsourcing,"Irving, TX"
Softcom Systems,1 to 50 employees,Company - Private,IT Services,"Princeton, NJ"
CDO Technologies Inc,201 to 500 employees,Company - Private,Computer Hardware & Software,"Dayton, OH"
Cherokee Federal,1 to 50 employees,Nonprofit Organization,Banks & Credit Unions,"Rusk, TX"
Strategic Staffing Solutions,1001 to 5000 employees,Contract,Staffing & Outsourcing,"Detroit, MI"
Strategic Staffing Solutions,1001 to 5000 employees,Contract,Staffing & Outsourcing,"Detroit, MI"
CACI International,10000+ employees,Company - Public,Aerospace & Defense,"Arlington, VA"
Midland Credit Management,1001 to 5000 employees,Subsidiary or Business Segment,Banks & Credit Unions,"San Diego, CA"
UC San Diego,10000+ employees,College / University,Colleges & Universities,"La Jolla, CA"
HealthStream,501 to 1000 employees,Company - Public,Education Training Services,"Nashville, TN"
Conflux Systems Inc.,1 to 50 employees,Company - Private,Accounting,"Alpharetta, GA"
22nd Century Technologies,1001 to 5000 employees,Company - Private,IT Services,"Somerset, NJ"
University of California,10000+ employees,College / University,Colleges & Universities,"Oakland, CA"
University of California - San Diego Medical Centers,10000+ employees,Hospital,Health Care Services & Hospitals,"San Diego, CA"
Client Solution Architects,201 to 500 employees,Company - Private,Aerospace & Defense,"Mechanicsburg, PA"
Cue,51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,"San Diego, CA"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
Encore Capital Group,5001 to 10000 employees,Company - Public,Financial Analytics & Research,"San Diego, CA"
HealthStream,501 to 1000 employees,Company - Public,Education Training Services,"Nashville, TN"
ProMedia,1 to 50 employees,Company - Private,Advertising & Marketing,"Miami, FL"
Axos Bank,1001 to 5000 employees,Company - Public,Banks & Credit Unions,"San Diego, CA"
Sayva Solutions,51 to 200 employees,Company - Private,Staffing & Outsourcing,"La Jolla, CA"
Stem,51 to 200 employees,Company - Private,Energy,"Millbrae, CA"
Tandem Diabetes,1001 to 5000 employees,Company - Public,Health Care Products Manufacturing,"San Diego, CA"
Illumina,5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,"San Diego, CA"
Forfeiture Support Associates,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Ashburn, VA"
General Dynamics,10000+ employees,Company - Public,Aerospace & Defense,"Reston, VA"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
"Dexcom, Inc.",1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,"San Diego, CA"
BD,10000+ employees,Company - Public,Health Care Products Manufacturing,"Franklin Lakes, NJ"
Vertex Pharmaceuticals,1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,"Boston, MA"
Kelly,5001 to 10000 employees,Company - Public,Staffing & Outsourcing,"Troy, MI"
Kaiser Permanente,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"Oakland, CA"
Illumina,5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,"San Diego, CA"
UC San Diego,10000+ employees,College / University,Colleges & Universities,"La Jolla, CA"
Web Shop Manager,1 to 50 employees,Company - Private,Computer Hardware & Software,"San Diego, CA"
Housecall Pro,51 to 200 employees,Company - Private,Computer Hardware & Software,"San Diego, CA"
Intuit,5001 to 10000 employees,Company - Public,Computer Hardware & Software,"Mountain View, CA"
University of California - San Diego Medical Centers,10000+ employees,Hospital,Health Care Services & Hospitals,"San Diego, CA"
Intuit,5001 to 10000 employees,Company - Public,Computer Hardware & Software,"Mountain View, CA"
Centene Corporation,10000+ employees,Company - Public,Insurance Carriers,"Saint Louis, MO"
"Verity, A HealthStream Company",201 to 500 employees,Subsidiary or Business Segment,Computer Hardware & Software,"Boulder, CO"
Web Shop Manager,1 to 50 employees,Company - Private,Computer Hardware & Software,"San Diego, CA"
UC San Diego,10000+ employees,College / University,Colleges & Universities,"La Jolla, CA"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
Russell Tobin & Associates,51 to 200 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"New York, NY"
Perspecta,10000+ employees,Company - Public,Aerospace & Defense,"Chantilly, VA"
UC San Diego,10000+ employees,College / University,Colleges & Universities,"La Jolla, CA"
MedImpact,1001 to 5000 employees,Company - Private,Wholesale,"San Diego, CA"
Sycuan Casino,1001 to 5000 employees,Company - Private,Gambling,"El Cajon, CA"
California State University,10000+ employees,College / University,Colleges & Universities,"Long Beach, CA"
"Sunrise Systems, Inc.",501 to 1000 employees,Company - Private,IT Services,"Edison, NJ"
University of California - San Diego Medical Centers,10000+ employees,Hospital,Health Care Services & Hospitals,"San Diego, CA"
World Wide Technology,5001 to 10000 employees,Company - Private,Computer Hardware & Software,"Maryland Heights, MO"
The Carrera Agency,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Aliso Viejo, CA"
General Dynamics Information Technology,10000+ employees,Subsidiary or Business Segment,IT Services,"Fairfax, VA"
UC San Diego,10000+ employees,College / University,Colleges & Universities,"La Jolla, CA"
Vervent,501 to 1000 employees,Company - Private,Lending,"San Diego, CA"
Perspecta,10000+ employees,Company - Public,Aerospace & Defense,"Chantilly, VA"
SBG Techology Solutions,51 to 200 employees,Company - Private,IT Services,"Stafford, VA"
"Insight Enterprises, Inc.",5001 to 10000 employees,Company - Public,Enterprise Software & Network Solutions,"Tempe, AZ"
"Insight Enterprises, Inc.",5001 to 10000 employees,Company - Public,Enterprise Software & Network Solutions,"Tempe, AZ"
Harris Computer,5001 to 10000 employees,Subsidiary or Business Segment,Computer Hardware & Software,"Ottawa, Canada"
Lidl,10000+ employees,Company - Private,Grocery Stores & Supermarkets,"London, United Kingdom"
Delmarva Foundation,501 to 1000 employees,Nonprofit Organization,Consulting,"Easton, MD"
"Pieces Technology, Inc.",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,"Dallas, TX"
Addison Group,501 to 1000 employees,Company - Private,Staffing & Outsourcing,"Chicago, IL"
Mondo,51 to 200 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
Goldman Sachs,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
PeopleFun,1 to 50 employees,Company - Private,Audiovisual,"Richardson, TX"
The Richards Group,501 to 1000 employees,Company - Private,Advertising & Marketing,"Dallas, TX"
Federal Reserve Bank,1001 to 5000 employees,Company - Private,Financial Analytics & Research,"New York, NY"
"InfoVision, Inc.",1001 to 5000 employees,Company - Private,IT Services,"Richardson, TX"
Dallas County,201 to 500 employees,Government,Municipal Governments,"Dallas, TX"
Goldman Sachs,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Atos,10000+ employees,Company - Public,IT Services,"Bezons, France"
Yeti Technologies,1 to 50 employees,Company - Public,IT Services,"Irving, TX"
Lidl,10000+ employees,Company - Private,Grocery Stores & Supermarkets,"London, United Kingdom"
Nokia,10000+ employees,Company - Public,Telecommunications Services,"Nokia, Finland"
"The Judge Group, Inc.",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Wayne, PA"
"ZeniMax Media, Inc.",201 to 500 employees,Company - Private,Video Games,"Rockville, MD"
Match Group,1001 to 5000 employees,Company - Private,Advertising & Marketing,"Norwalk, CT"
Hilltop Holdings,1001 to 5000 employees,Company - Public,Banks & Credit Unions,"Dallas, TX"
Texas Scottish Rite Hospital for Children,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Dallas, TX"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
Capgemini,10000+ employees,Company - Public,Enterprise Software & Network Solutions,"Paris, France"
Diversant LLC,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Red Bank, NJ"
Dallas ISD,10000+ employees,School / School District,Preschool & Child Care,"Dallas, TX"
Signify Health,501 to 1000 employees,Company - Private,Health Care Services & Hospitals,"Dallas, TX"
Kforce,10000+ employees,Company - Public,Staffing & Outsourcing,"Tampa, FL"
Financial Additions,1 to 50 employees,Company - Private,Investment Banking & Asset Management,"Dallas, TX"
Dallas Independent School District,10000+ employees,School / School District,Preschool & Child Care,"Dallas, TX"
First American Financial Corporation,10000+ employees,Company - Public,Insurance Carriers,"Santa Ana, CA"
Signify Health,501 to 1000 employees,Company - Private,Health Care Services & Hospitals,"Dallas, TX"
Federal Reserve Bank (FRB),1001 to 5000 employees,Government,Federal Agencies,"Washington, DC"
VITALWARE LLC,51 to 200 employees,Company - Private,Health Care Services & Hospitals,"Yakima, WA"
Kubota Tractor,1001 to 5000 employees,Subsidiary or Business Segment,Industrial Manufacturing,"Grapevine, TX"
Trinity Industries,10000+ employees,Company - Public,Transportation Equipment Manufacturing,"Dallas, TX"
Randstad US,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Atlanta, GA"
L&T Infotech,10000+ employees,Company - Public,IT Services,"Mumbai, India"
Federal Reserve Bank of Richmond,1001 to 5000 employees,Nonprofit Organization,Banks & Credit Unions,"Richmond, VA"
Sphinix Solutions,1 to 50 employees,Company - Private,IT Services,"New York, NY"
A-Line Staffing Solutions,501 to 1000 employees,Company - Private,Staffing & Outsourcing,"Utica, MI"
Atmos Energy Corp.,1001 to 5000 employees,Company - Public,Oil & Gas Services,"Dallas, TX"
Citi,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
North Central Texas Council of Governments,201 to 500 employees,Nonprofit Organization,Membership Organizations,"Arlington, TX"
Goldman Sachs,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
McAfee,5001 to 10000 employees,Company - Private,Computer Hardware & Software,"Santa Clara, CA"
"Conch Technologies, Inc",51 to 200 employees,Company - Private,Consulting,"Memphis, TN"
Apex Systems,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Glen Allen, VA"
RealPage,5001 to 10000 employees,Company - Public,Computer Hardware & Software,"Richardson, TX"
Mary Kay,5001 to 10000 employees,Company - Private,Consumer Products Manufacturing,"Addison, TX"
Mobilityware,51 to 200 employees,Company - Private,Video Games,"Irvine, CA"
AustinCSI,51 to 200 employees,Company - Private,Consulting,"Plano, TX"
Apptricity Corporation,51 to 200 employees,Company - Private,Computer Hardware & Software,"Irving, TX"
Mitchell Martin,501 to 1000 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
National NeuroMonitoring,51 to 200 employees,Company - Private,Health Care Services & Hospitals,"San Antonio, TX"
NTT DATA,10000+ employees,Company - Public,IT Services,"Tokyo, Japan"
Ho Chunk,201 to 500 employees,Company - Private,Convenience Stores & Truck Stops,"Winnebago, NE"
Precision technologies corp,201 to 500 employees,Company - Private,IT Services,"New Brunswick, NJ"
Citi,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Mosaic Sales Solutions,5001 to 10000 employees,Company - Private,Advertising & Marketing,"Irving, TX"
"One Call Claims, LLC",201 to 500 employees,Company - Private,Insurance Carriers,"Mobile, AL"
Prudent Technologies & Consulting,51 to 200 employees,Company - Private,IT Services,"Dallas, TX"
Daylight Solutions,51 to 200 employees,Company - Private,Aerospace & Defense,"San Diego, CA"
Excite Health Partners,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Towson, MD"
PROLIM Global Corporation,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,"Farmington Hills, MI"
ADT,10000+ employees,Company - Public,Security Services,"Boca Raton, FL"
"Pinnacle Technical Resources, Inc.",5001 to 10000 employees,Company - Private,Staffing & Outsourcing,"Dallas, TX"
eDataForce consulting LLC,1 to 50 employees,Company - Private,IT Services,"Flower Mound, TX"
Trinity Industries,10000+ employees,Company - Public,Transportation Equipment Manufacturing,"Dallas, TX"
"ServiceLink, a Black Knight Company",1001 to 5000 employees,Subsidiary or Business Segment,Lending,"Pittsburgh, PA"
Lightbeam Health Solutions,51 to 200 employees,Company - Private,Health Care Services & Hospitals,"Irving, TX"
"Telnet (Rockville, MD)",51 to 200 employees,Company - Private,Consulting,"Rockville, MD"
Tarrant County,1 to 50 employees,Government,Municipal Governments,"Fort Worth, TX"
Diversant LLC,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Red Bank, NJ"
Vastika,1 to 50 employees,Company - Private,"Health, Beauty, & Fitness","Irving, TX"
University of Texas at Arlington,1001 to 5000 employees,College / University,Colleges & Universities,"Arlington, TX"
APN Software Services Inc.,51 to 200 employees,Company - Private,Computer Hardware & Software,"Newark, CA"
Fairway Independent Mortgage Corporation,5001 to 10000 employees,Company - Private,Lending,"Madison, WI"
Signify Health,501 to 1000 employees,Company - Private,Health Care Services & Hospitals,"Dallas, TX"
HCL America Inc.,10000+ employees,Company - Public,Computer Hardware & Software,"Noida, India"
Colfax Corporation,10000+ employees,Company - Public,Industrial Manufacturing,"Annapolis Junction, MD"
Bloomfield Homes,1 to 50 employees,Subsidiary or Business Segment,Construction,"Southlake, TX"
ServiceLink,1001 to 5000 employees,Subsidiary or Business Segment,Lending,"Pittsburgh, PA"
Onyx CenterSource,201 to 500 employees,Company - Private,Financial Transaction Processing,"Dallas, TX"
Fleishman-Hillard Inc,1001 to 5000 employees,Subsidiary or Business Segment,Advertising & Marketing,"Saint Louis, MO"
JPMorgan Chase,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
eTeam Inc.,51 to 200 employees,Company - Private,Staffing & Outsourcing,"South Plainfield, NJ"
"BurnsSearch, LLC",51 to 200 employees,Company - Private,Staffing & Outsourcing,"Frisco, TX"
Mindteck,1001 to 5000 employees,Company - Public,IT Services,"Bengaluru, India"
Analytical Mechanics Associates,201 to 500 employees,Company - Private,Consulting,"Hampton, VA"
CarOffer,51 to 200 employees,Company - Private,Consumer Product Rental,"Plano, TX"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
Home Point Financial,1001 to 5000 employees,Company - Private,Lending,"Ann Arbor, MI"
Horn Solutions Inc.,1 to 50 employees,Company - Private,Consulting,"Sugar Land, TX"
DJO Global,5001 to 10000 employees,Subsidiary or Business Segment,Health Care Products Manufacturing,"Dallas, TX"
Kforce,10000+ employees,Company - Public,Staffing & Outsourcing,"Tampa, FL"
Kforce,10000+ employees,Company - Public,Staffing & Outsourcing,"Tampa, FL"
Community Hospital Corporation,1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,"Plano, TX"
Citi,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Two95 International Inc.,1 to 50 employees,Company - Private,Staffing & Outsourcing,"Cherry Hill, NJ"
University of Texas at Arlington,1001 to 5000 employees,College / University,Colleges & Universities,"Arlington, TX"
Vastika,1 to 50 employees,Company - Private,"Health, Beauty, & Fitness","Irving, TX"
PeopleNTech LLC,1 to 50 employees,Contract,IT Services,"Vienna, VA"
eTeam Inc.,51 to 200 employees,Company - Private,Staffing & Outsourcing,"South Plainfield, NJ"
Ava Consulting,1 to 50 employees,Company - Public,IT Services,"Dallas, TX"
Molex,10000+ employees,Company - Private,Electrical & Electronic Manufacturing,"Lisle, IL"
Net2Source,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Somerset, NJ"
ClientSolv Technologies,51 to 200 employees,Company - Private,IT Services,"Greenwood Village, CO"
Ho Chunk,201 to 500 employees,Company - Private,Convenience Stores & Truck Stops,"Winnebago, NE"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
Mosaic Sales Solutions,5001 to 10000 employees,Company - Private,Advertising & Marketing,"Irving, TX"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
Net2Source,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Somerset, NJ"
Community Hospital,201 to 500 employees,Hospital,Health Care Services & Hospitals,"Tallassee, AL"
TECHNOCRAFT Solutions,1 to 50 employees,Company - Private,Advertising & Marketing,"Hilliard, OH"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
Mill Creek Residential Trust,501 to 1000 employees,Company - Private,Real Estate,"Boca Raton, FL"
Employbridge,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Atlanta, GA"
FirstAmerica,10000+ employees,Company - Private,Transportation Management,"Aberdeen, United Kingdom"
ArcBest,10000+ employees,Company - Public,Logistics & Supply Chain,"Fort Smith, AR"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
Peyton Resource Group (PRG),1 to 50 employees,Company - Private,Staffing & Outsourcing,"Irving, TX"
Apex Systems,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Glen Allen, VA"
Kforce,10000+ employees,Company - Public,Staffing & Outsourcing,"Tampa, FL"
Frontend Arts,1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,"Irving, TX"
OneMain Financial,10000+ employees,Company - Public,Lending,"Baltimore, MD"
APN Software Services Inc.,51 to 200 employees,Company - Private,Computer Hardware & Software,"Newark, CA"
OSI Engineering,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Campbell, CA"
NVIDIA,10000+ employees,Company - Public,Computer Hardware & Software,"Santa Clara, CA"
Risk Management Solutions (RMS),1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,"Newark, CA"
LeanData,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,"Sunnyvale, CA"
Alteryx,1001 to 5000 employees,Company - Public,Enterprise Software & Network Solutions,"Irvine, CA"
Bandai Namco Entertainment America,51 to 200 employees,Subsidiary or Business Segment,Sports & Recreation,"Santa Clara, CA"
Kelly,5001 to 10000 employees,Company - Public,Staffing & Outsourcing,"Troy, MI"
Tesla Motors,10000+ employees,Company - Public,Transportation Equipment Manufacturing,"Palo Alto, CA"
L&T Infotech,10000+ employees,Company - Public,IT Services,"Mumbai, India"
IntraEdge,501 to 1000 employees,Company - Private,IT Services,"Chandler, AZ"
Connor Group,201 to 500 employees,Company - Private,Accounting,"Santa Clara, CA"
"Joomag, Inc.",51 to 200 employees,Company - Private,IT Services,"Sunnyvale, CA"
Cognoa,1 to 50 employees,Company - Private,Health Care Services & Hospitals,"Palo Alto, CA"
ICONMA,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Troy, MI"
Moveworks,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,"Mountain View, CA"
Ursus,1 to 50 employees,Company - Private,IT Services,"Reno, NV"
Nuro,201 to 500 employees,Company - Private,Computer Hardware & Software,"Mountain View, CA"
"TalentBurst, Inc.",501 to 1000 employees,Company - Private,IT Services,"Natick, MA"
Randstad,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Atlanta, GA"
BayOne Solutions,1001 to 5000 employees,Company - Private,IT Services,"Pleasanton, CA"
Zipongo,51 to 200 employees,Company - Private,Health Care Services & Hospitals,"San Francisco, CA"
Logic Planet,201 to 500 employees,Company - Private,IT Services,"Princeton, NJ"
Netflix,1001 to 5000 employees,Company - Public,Internet,"Los Gatos, CA"
Kaygen Inc.,1 to 50 employees,Company - Private,Consulting,"Irvine, CA"
"Iconma, L.L.C.",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Troy, MI"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
